Variant,Strain,Fe[mg/kg],Cu[mg/kg],Zn[mg/kg],K[mg/kg],Mg[mg/kg],Ca[mg/kg],Na[mg/kg],Mn[mg/kg],P[mg/kg],Ca:P,Fe:Mn, K:Ca,K:Mg,Ca:Mg,K:[Ca+Mg]
CWP,C0,195.8,9.49,41.06,20860.7,3934.1,9877.9,499.44,16.09,4778.7,2.07,12.17,1.08,1.66,1.53,0.66
CWP,C0,195.4,12.46,40.38,21824.3,4094.3,9503.1,549.49,15.19,5397.5,1.76,12.86,1.18,1.67,1.42,0.69
CWP,C0,198.3,5.18,45.83,20393.4,3653.7,9049.5,829.10,15.23,4878.0,1.86,13.02,1.16,1.75,1.51,0.70
CWP,C0,153.4,8.46,31.14,23087.0,3866.4,8734.6,690.21,13.89,5224.0,1.67,11.04,1.35,1.87,1.38,0.79
CWP,C0,152.9,3.33,28.07,21001.0,3394.5,8124.5,541.50,12.83,5093.4,1.60,11.92,1.32,1.94,1.46,0.79
CWP,C0,158.9,11.61,48.93,17813.0,3766.1,9578.3,578.71,15.24,4910.0,1.95,10.42,0.95,1.48,1.55,0.58
CWP,C0,229.5,7.75,47.35,22542.5,3422.3,9496.5,548.25,22.86,5765.9,1.65,10.04,1.22,2.06,1.70,0.77
CWP,C0,191.1,17.07,43.88,21099.5,3419.6,11458.8,563.43,39.32,7676.3,1.49,4.86,0.94,1.93,2.05,0.63
CWP,CMg,160.5,14.04,38.86,20045.0,3920.9,9312.8,523.45,14.82,5085.2,1.83,10.83,1.10,1.60,1.45,0.65
CWP,CMg,217.8,11.22,39.15,21742.2,4233.2,9962.2,453.06,13.01,5009.0,1.99,16.73,1.12,1.61,1.44,0.66
CWP,CMg,149.2,3.68,31.58,20792.1,3760.6,9377.3,502.72,14.60,5217.2,1.80,10.22,1.14,1.73,1.52,0.69
CWP,CMg,236.5,19.81,33.14,14623.4,2907.7,7217.6,538.14,13.84,4147.1,1.74,17.08,1.04,1.58,1.52,0.63
CWP,CMg,151.3,17.74,43.62,19113.6,2899.2,11024.1,653.18,44.06,8374.5,1.32,3.43,0.89,2.07,2.32,0.62
CWP,CMg,159.3,23.87,59.57,23250.7,4269.8,13662.4,863.26,36.28,7956.1,1.72,4.39,0.87,1.71,1.96,0.58
CWP,CMg,166.0,5.75,33.13,23700.2,3222.6,10779.0,568.99,22.08,7112.7,1.52,7.52,1.13,2.30,2.04,0.76
